week,date,date_end,title,deadline,content,assignment,note
1,1/21/26,,Introduction and Philosophy of Science,,01-week1,,
1,1/23/26,,Philosophy of Science,,,,
2,1/26/26,,Social Scientific Inquiry,,02-week2,,
2,1/28/26,,Social Scientific Inquiry,,,,
2,1/30/26,,Social Scientific Inquiry,,,../resource/r,
3,2/2/26,,R101,,03-week3,,
3,2/4/26,,R101,,,,
3,2/6/26,,Research Question Due,11:59 PM,,../assignment/group-project1,
4,2/9/26,,How Experiments Work,,04-week4,,
4,2/11/26,,How Experiments Work,,,,
4,2/13/26,,Problem Set 1 Due,9:00 AM,,../assignment/pset1,
5,2/16/26,,Working with Survey Data,,05-week5,,
5,2/18/26,,Working with Survey Data,,,,
5,2/20/26,,Problem Set 2 Due,9:00 AM,,../assignment/pset2,
6,2/23/26,,Working with Survey Data,,06-week6,,
6,2/25/26,,Working with Survey Data,,,,
6,2/27/26,,Midterm Exam,,,,
7,3/2/26,3/6/26,Spring Break,,,,
8,3/9/26,,The Research Process,,08-week8,,
8,3/11/26,,The Research Process,,,,
8,3/13/26,,Qualitative Approaches,,,../assignment/pset3,
9,3/16/26,,Qualitative Approaches,,09-week9,,
9,3/18/26,,No in-person meeting. Work with group.,,,,
9,3/20/26,,Literature Review and Expectations,11:59 PM,,../assignment/group-project2,
10,3/23/26,,Predictions with Linear Regression,,10-week10,,
10,3/25/26,,Predictions with Linear Regression,,,,
10,3/27/26,,Problem Set 4 Due,11:59 PM,,../assignment/pset4,
11,3/30/26,,Observational Studies,,11-week11,,
11,4/1/26,,Observational Studies,,,,
11,4/3/26,,NO CLASS. Easter Break.,,,,
12,4/6/26,,NO CLASS. Easter Break.,,12-week12,,
12,4/8/26,,Validity and Probability,,,,
12,4/10/26,,Problem Set 5 Due,11:59 PM,,../assignment/pset5,
13,4/13/26,,Probability,,13-week13,,
13,4/15/26,,Probability,,,,
13,4/17/26,,Probability,,,,
14,4/20/26,,How Certain Are We?,,14-week14,,
14,4/22/26,,NO CLASS.,,,,
14,4/24/26,,No in-person meeting. Recorded lecture.,,,,
14,4/24/26,,Problem Set 6 Due,11:59 PM,,../assignment/pset6,
15,4/27/26,,Research Presentations,,15-week15,../assignment/group-project3,
15,4/29/26,,Research Presentations,,,,
15,5/1/26,,Extra Credit Problem Set Due,11:59 PM,,../assignment/pset-extra,
16,5/4/26,,Final Paper Due,11:59 PM,16-week16,../assignment/group-project4,
17,5/14/26,,Final exam,3:00 PM,17-week17,,
